"Title","Shop","Monthly Trend","Monthly Revenue","Monthly Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
"Bachelorette Party Favor, Cotton Turkish Towel, Personalized Gift Towel, Custom Wedding Gift, Beach Towel, Bridesmaid Gifts, Party Gifts",CottoDESIGN,+36%,$26.028,1.370,3.5,$19,"Aug 8, 2022",651,6.424,175.422,physical,4.9,136,30,13,No,Yes,Yes,1,Yes,0,2020_2026,i_did,No,156.603,"Mar 21, 2020",US,47,Beach Towels,7
"Custom Embroidered Baby Name Sweater: Personalized Knit Crochet Gift, Baby Name Sweater, Knit Sweater,Personalized Gift,  Back to School",TinyBarns,+13%,$22.156,1.109,2.7,$20,"Apr 3, 2025",3.296,23.559,903.447,physical,5.0,136,N/A,13,No,Yes,Yes,4,Yes,0,made_to_order,i_did,Yes,65.205,"Jul 02, 2024",US,15,Sweaters,73
"Personalized Men's Leather Toiletry Bag, Dopp Kit, Groomsmen Gifts, Anniversary Gift for Him, Travel Toiletry Bag, Men's Leather Accessory",EsseHomeDesign,-25%,$19.168,1.108,3.2,$17,"Oct 13, 2025",2.599,23.056,739.632,physical,4.8,146,3,13,No,Yes,Yes,5,Yes,0,made_to_order,i_did,No,93.417,"Jan 12, 2022",TR,9,Toiletry Kits & Travel Cases,14
"Personalized Passport Holder & Luggage Tag Set – RFID Protection for Travelers, Custom Travel Gift",AuraKeepsake,+22%,$16.781,1.105,5.3,$15,"Jan 28, 2026",276,2.501,54.056,physical,4.9,98,N/A,13,No,Yes,Yes,1,Yes,0,made_to_order,collective,No,3.087,"Jan 28, 2026",US,5,Passport Covers,17
Custom Design Fee: Digital Mockup Service,ByChelseaNicole,0%,$493,1.094,1.1,$0,"Jun 27, 2026",59,0,97,download,5.0,41,-1,13,No,No,No,N/A,Yes,1,made_to_order,i_did,No,137.696,"Nov 05, 2019",US,0,Signs,11
70 Options Natural Gemstone Round Smooth Beads Healing Genuine Stone Loose Beads For Bracelet Necklace DIY Jewelry Making 4mm 6mm 8mm 10mm,AmazingBeadJewelry,+296%,$2.310,1.064,3.8,$2,"Apr 8, 2023",2.674,18.405,710.048,physical,4.8,138,2,13,No,No,Yes,1,Yes,0,2020_2026,someone_else,Yes,60.983,"Jun 09, 2022",HK,39,Beads,82
"Custom Name Necklace, 18K Gold Plated Name Necklace, Personalized Name Necklace, Birthday Gift for Her, Graduation Gifts, Gift for Teacher",AnyaShopStudio,-5%,$27.654,1.033,2.7,$27,"Feb 28, 2023",22.580,119.663,4.953.221,physical,4.9,138,N/A,13,No,Yes,Yes,4,No,0,made_to_order,i_did,Yes,345.324,"Feb 11, 2022",GB,40,Monogram & Name Necklaces,91
"Personalized Name Necklace, Custom 18K Gold Plated Name Necklace, Minimalist Name Necklace, Christmas Gift, Mother's Day Gift, Gift for Her",MuwatiUK,+18%,$30.349,1.029,2.8,$29,"Nov 23, 2021",4.810,20.020,1.053.704,physical,4.7,143,N/A,13,No,Yes,Yes,6,No,0,made_to_order,i_did,Yes,200.006,"Oct 22, 2021",GB,55,Monogram & Name Necklaces,28
"Custom Logo DTF Transfer, Your Logo Here Dtf, Personalized Logo Ready To Press, Business Logo Dtf, Make Your Own Dtf, Custom Heat Press Dtf",BegoniaDesignUS,-12%,$3.674,1.021,4.8,$4,"Aug 2, 2025",922,2.009,124.175,physical,4.9,139,-1,13,No,Yes,Yes,1,Yes,4,made_to_order,i_did,No,31.617,"Sep 16, 2021",US,11,Digital Prints,64
"Let Me Manifest For You, Medium Reading, Psychic Reading, Personalized Ritual, Love, Luck, Career, for You, personalized, same hour",SofiaMediumStudio,-18%,$40.307,996,1.8,$40,"Apr 8, 2026",448,2.669,159.740,physical,4.7,131,N/A,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,53.104,"Apr 30, 2025",US,3,Psychic Readings,1
Monogrammed Slim Can Cooler Personalized Name Bachelorette Favor Grandmillennial Skinny Can Cooler Custom Bridal Party Gift Bridesmaid Idea,basharoundtown,+10%,$6.225,959,3.2,$6,"Aug 28, 2025",558,8.571,145.814,physical,5.0,139,2,13,No,Yes,Yes,4,Yes,2,made_to_order,i_did,No,88.733,"Sep 22, 2014",US,10,Cozies,24
